ticker,year,quarter,AssetQualityComponent.ProblemLoansAndLeasesCalculatedAsPercentageOfGrossLoans,AssetQualityComponent.LoanLossReservesToNPLs,LiquidityAndAssetsComponent.LDRPercentage,ProfitabilityComponent.NIM,NetInterestIncome,AttributeToParentCompany,SolvencyRatio.LiabilitiesToEquityRatio,ProfitabilityRatio.EBITMargin,ProfitabilityRatio.ROA,ProfitabilityRatio.ROE,ProfitabilityRatio.ROIC,ValuationRatios.BookValuePerShare,ValuationRatios.BasicEPS,ValuationRatios.PriceToBook,ValuationRatios.PriceToEarning,Revenue,EBIT
LPB,2022,2,0.01402706,1.2126758,0.87349794,0.03911104,3044872000000.0,1434685000000.0,,,,,,,,,,,
LPB,2022,3,0.01399435,1.43065343,0.84353527,0.04108142,3207607000000.0,986887000000.0,,,,,,,,,,,
LPB,2022,4,0.01455082,1.42111282,0.8159455,0.03964007,2771784000000.0,667898000000.0,,,,,,,,,,,
LPB,2023,1,0.01454524,1.11058853,0.81476949,0.03780576,2774205000000.0,1243316000000.0,,,,,,,,,,,
LPB,2023,2,0.02429747,0.72078851,0.81919304,0.03477079,2450092000000.0,708230000000.0,,,,,,,,,,,
LPB,2023,3,0.02794689,0.67466366,0.81727771,0.03190075,2632779000000.0,992850000000.0,,,,,,,,,,,
LPB,2023,4,0.01339229,0.9375338,0.82847794,0.03230353,3346053000000.0,2627850000000.0,,,,,,,,,,,
LPB,2024,1,0.01386721,0.88963085,0.85870094,0.03256815,3464497000000.0,2298661000000.0,,,,,,,,,,,
LPB,2024,2,0.01727316,0.77120368,0.81004172,0.03357978,3644632000000.0,2421642000000.0,,,,,,,,,,,
LPB,2024,3,0.01961428,0.77487478,0.79789,0.0343973,3777897000000.0,2330781000000.0,,,,,,,,,,,
LPB,2024,4,0.01567715,0.83292832,0.74679683,0.03521969,4506717000000.0,2669816000000.0,,,,,,,,,,,
LPB,2025,1,0.01728661,0.74321918,0.80747955,0.03250123,3281910000000.0,2533906000000.0,,,,,,,,,,,
LPB,2025,2,0.01742043,0.75287119,0.81245225,0.03152752,3735854000000.0,2395871000000.0,,,,,,,,,,,
LPB,2025,3,0.01779745,0.76132911,0.80352447,0.031072,4235047000000.0,2762014000000.0,,,,,,,,,,,
LPB,2025,4,0.0168433,0.73950037,0.74296684,0.02920484,4781426000000.0,3730588000000.0,,,,,,,,,,,
LPB,2026,1,0.01835715,0.69647474,0.79440333,0.03027151,3878245000000.0,2279191000000.0,,,,,,,,,,,
MBB,2021,2,0.00764417,2.36495934,0.81357867,0.05140371,5952036000000.0,3552809000000.0,,,,,,,,,,,
MBB,2021,3,0.00947144,2.32803704,0.77551971,0.05102832,6562536000000.0,2596026000000.0,,,,,,,,,,,
MBB,2021,4,0.00898911,2.67980116,0.78108282,0.05089312,6515194000000.0,3022176000000.0,,,,,,,,,,,
MBB,2022,1,0.00993851,2.50073585,0.82591641,0.05224732,7169788000000.0,3526064000000.0,,,,,,,,,,,
MBB,2022,2,0.01197656,2.21424836,0.81241194,0.0534533,8385485000000.0,4546209000000.0,,,,,,,,,,,
MBB,2022,3,0.01035822,2.07726433,0.83972651,0.05479132,8969406000000.0,4623202000000.0,,,,,,,,,,,
MBB,2022,4,0.01092395,2.38027434,0.80345408,0.05662661,9038629000000.0,4879193000000.0,,,,,,,,,,,
MBB,2023,1,0.01756028,1.38258037,0.80219494,0.05645137,9629602000000.0,3434131000000.0,,,,,,,,,,,
MBB,2023,2,0.01443816,1.56095257,0.80061982,0.05419747,10227193000000.0,5023662000000.0,,,,,,,,,,,
MBB,2023,3,0.01885282,1.21974127,0.84129463,0.05228654,9481370000000.0,4893495000000.0,,,,,,,,,,,
MBB,2023,4,0.01604562,1.16980755,0.80105134,0.04786729,9811793000000.0,5773265000000.0,,,,,,,,,,,
MBB,2024,1,0.02485617,0.80057514,0.8632563,0.044664,9163492000000.0,4986366000000.0,,,,,,,,,,,
