ticker,year,quarter,AssetQualityComponent.ProblemLoansAndLeasesCalculatedAsPercentageOfGrossLoans,AssetQualityComponent.LoanLossReservesToNPLs,LiquidityAndAssetsComponent.LDRPercentage,ProfitabilityComponent.NIM,GrowthComponent.AverageLoansGrowthPercentageYoY,GrowthComponent.AverageDepositGrowthPercentageYoY,GrowthComponent.InterestincomeGrowthPercentageYoY,NetInterestIncome,AttributeToParentCompany,SolvencyRatio.LiabilitiesToEquityRatio,ProfitabilityRatio.EBITMargin,ProfitabilityRatio.ROA,ProfitabilityRatio.ROE,ProfitabilityRatio.ROIC,ValuationRatios.BookValuePerShare,ValuationRatios.BasicEPS,ValuationRatios.PriceToBook,ValuationRatios.PriceToEarning,Growth.NetRevenueGrowthYoY,Growth.EBTgrowthYoY,Revenue,EBIT
CTD,2025,,,,,,,,,,20712200279.0,2.30073515,0.01899764,0.01692322,0.05141514,0.04237439,86503.15944082,1944.69301113,1.15602714,51.42199793,0.1878269,0.41079915,14538688107336.0,-248024024367.0
CTD,2025,,,,,,,,,,187939139994.0,2.36664444,0.02035098,0.02306223,0.07381853,0.04635752,89355.41883313,2844.71927423,0.859489,26.99739152,0.27201367,0.94847535,16529943401912.0,27752955961.0
CTD,2025,,,,,,,,,,371375360821.0,2.6697927,0.02351763,0.02540086,0.08646266,0.05423636,,,,,0.34023168,1.07410072,22905861968473.0,250175232304.0
CTD,2025,,,,,,,,,,781318934289.0,2.6697927,0.02351763,0.02540086,0.08646266,0.05423636,90557.40819193,7539.26805689,0.96292509,11.56610951,0.34023168,1.07410072,30699102678167.0,721968991017.0
CTG,2025,,0.01553558,1.36815835,0.85128777,0.02757576,0.18776198,0.13557984,0.12794485,41788465000000.0,14088760000000.0,,,,,,,,,,,,,
CTG,2025,,0.01306419,1.34755072,0.84819413,0.0264632,0.20889351,0.1725676,0.08655135,47791955000000.0,16923725000000.0,,,,,,,,,,,,,
CTG,2025,,0.0109127,1.76482681,0.8486917,0.02570233,0.24357984,0.17050472,0.06829642,52957478000000.0,19903550000000.0,,,,,,,,,,,,,
CTG,2025,,0.0110006,1.58833974,0.84157277,0.02621473,0.16149851,0.11667399,0.06490817,62402794000000.0,25348215000000.0,,,,,,,,,,,,,
CTG,2025,,0.0110006,1.58833974,0.84157277,0.02621473,0.16149851,0.11667399,0.06490817,66453245000000.0,34604481000000.0,,,,,,,,,,,,,
CTR,2025,,,,,,,,,,375253099591.0,2.8429512,0.05675628,0.07686133,0.29256955,0.19674268,17534.18992333,1063.99161588,5.62900256,92.76388886,0.09862202,0.04342076,7446888026068.0,467468727765.0
CTR,2025,,,,,,,,,,455155190939.0,2.91118601,0.05574126,0.07690648,0.29859513,0.20134694,17421.87412544,1269.56874804,5.22331865,71.67788286,0.08932326,0.06327302,9466997451987.0,567493394022.0
CTR,2025,,,,,,,,,,524597395205.0,2.60531397,0.0556885,0.07720482,0.29247814,0.20985546,18872.37577215,1476.93121482,5.08679994,64.99964185,0.09440766,0.10686449,11370408272724.0,653999016776.0
CTR,2025,,,,,,,,,,538221178258.0,2.95977112,0.05267941,0.07843642,0.30502574,0.22593901,,,,,0.10547568,0.10958062,12609519560081.0,715622453279.0
CTR,2025,,,,,,,,,,599717125636.0,2.95977112,0.05267941,0.07843642,0.30502574,0.22593901,18071.9532647,5242.92972943,4.82515635,16.63192232,0.10547568,0.10958062,13939517269142.0,734325527620.0
CTS,2025,,,,,,,,,,386503773570.0,3.20451973,0.53320814,0.04108468,0.16821521,0.07053802,11801.04460508,826.2519652,3.80474793,54.34177695,0.2692065,0.78859086,1064553362036.0,633847692181.0
CTS,2025,,,,,,,,,,71067936264.0,3.05728362,0.59477424,0.06053285,0.24586862,0.09155113,13205.30169284,1271.85996134,2.56336438,26.61456531,0.51128851,1.79351315,872155112633.0,306096717085.0
CTS,2025,,,,,,,,,,187400978164.0,3.3463405,0.51821475,0.0547043,0.22605034,0.09320708,,,,,1.03036913,1.48668729,1144231385757.0,567030861493.0
CTS,2025,,,,,,,,,,231086774298.0,3.3463405,0.51821475,0.0547043,0.22605034,0.09320708,13425.12686975,2714.57168773,1.96646186,9.72529115,1.03036913,1.48668729,1032246753412.0,537652142900.0
CTS,2026,,,,,,,,,,577371584960.0,3.59420429,0.55563507,0.04503843,0.19393406,0.08294204,13666.40824231,309.57120857,1.93174384,85.27924842,0.69021625,1.24656896,2095841946317.0,1086096218935.0
DBC,2025,,,,,,,,,,829557934446.0,0.99201566,0.10857632,0.08616244,0.18965578,0.12043268,21613.40618378,1518.69533167,1.6633195,23.67163397,0.15614606,1.54137162,10961929700091.0,1103242001564.0
DBC,2025,,,,,,,,,,5194587097.0,0.92337655,0.12819342,0.10957405,0.22294818,0.14586907,22638.70634571,1514.84334942,1.18160462,17.65859157,0.23852868,4.66699566,11687827152346.0,212845235254.0
DBC,2025,,,,,,,,,,25007194215.0,0.96476259,0.11820778,0.1088862,0.21659184,0.1422292,20577.07966119,891.10229224,1.37288675,31.70230875,0.26284861,1.83089391,11241164150311.0,325445155066.0
DBC,2025,,,,,,,,,,769083752455.0,0.9799989,0.12007108,0.10012316,0.20316303,0.13001199,,,,,0.09755369,0.9004698,13739362734289.0,1072626553454.0
DBC,2025,,,,,,,,,,1506767998626.0,0.9799989,0.12007108,0.10012316,0.20316303,0.13001199,20963.13708178,3915.03896758,1.09000861,5.83646809,0.09755369,0.9004698,15109273137980.0,1788779442216.0
DCM,2025,,,,,,,,,,1823459057715.0,0.59846205,0.08035869,0.09156997,0.14739159,0.11563208,19893.70292079,1484.93316553,1.98555292,26.60052379,0.11950548,0.16063259,10088157082401.0,1832043933853.0
DCM,2025,,,,,,,,,,4315953289589.0,0.73821506,0.09595495,0.10245069,0.16554308,0.15068355,19299.88961739,1484.93316553,1.78239361,23.16602578,0.23580225,0.13884275,16380039770909.0,4352540309563.0
DCM,2025,,,,,,,,,,1108892825082.0,0.56387515,0.10470614,0.11317713,0.18294139,0.16140019,19871.28498955,618.97952007,1.86198326,59.77580647,0.2997201,0.26875251,12949489162606.0,682611334524.0
DCM,2025,,,,,,,,,,1419657938042.0,0.64287913,0.10884199,0.11477459,0.1836871,0.17224305,,,,,0.26049348,0.41698174,13942548247107.0,1018067452952.0
DCM,2025,,,,,,,,,,1959812434496.0,0.64287913,0.10884199,0.11477459,0.1836871,0.17224305,20330.3997993,3701.95019739,2.04865622,11.25082667,0.26049348,0.41698174,17223063258575.0,1904735201737.0
DGC,2025,,,,,,,,,,2388150970624.0,0.15379603,0.29536339,0.19531396,0.23077306,0.18800885,36820.80197939,2131.06648599,2.77288909,47.91028373,0.06641958,0.0672332,9550582124429.0,2541936354818.0
DGC,2025,,,,,,,,,,5565005078678.0,0.19717909,0.28696698,0.1860894,0.22209738,0.18023182,39041.38095156,2217.7283901,2.33086017,41.03297789,0.09649252,0.06820707,14444995604730.0,5998137703428.0
DGC,2025,,,,,,,,,,3110379605233.0,0.21319521,0.28546732,0.18011589,0.21822758,0.17388193,41020.53087238,1979.14992156,1.67233331,34.66134589,0.11224824,0.11893873,9761057850158.0,2855966972379.0
DGC,2025,,,,,,,,,,2986646667039.0,0.26899378,0.26622434,0.17104068,0.21289878,0.17467876,,,,,0.14161494,0.06038931,9870655430211.0,2831711618698.0
DGC,2025,,,,,,,,,,3024975472108.0,0.26899378,0.26622434,0.17104068,0.21289878,0.17467876,39652.17470529,7965.08810148,1.34418857,6.6917025,0.14161494,0.06038931,11266651695024.0,2998217718723.0
DGW,2025,,,,,,,,,,654372803966.0,1.51598077,0.02663078,0.05792281,0.15706331,0.10742155,14043.16904226,482.96183491,3.06198693,89.03395029,0.13962934,0.21494176,21302662313033.0,686007336016.0
DGW,2025,,,,,,,,,,683783287082.0,1.67255012,0.02303868,0.05944087,0.16191604,0.09796854,14072.24434776,527.77012678,2.77496603,73.9905463,0.1521536,0.25195537,22107364604910.0,804870226273.0
DGW,2025,,,,,,,,,,354392478066.0,1.80044853,0.02513903,0.06235536,0.17056962,0.10632976,14831.13677168,758.89242392,2.96673146,57.97923212,0.16296335,0.30724031,18867240821638.0,417219600328.0
DGW,2025,,,,,,,,,,443877018277.0,2.2425596,0.02696616,0.0554016,0.17088051,0.13261522,,,,,0.20620265,0.2111591,22561138071715.0,526517228407.0
DGW,2025,,,,,,,,,,547331236542.0,2.2425596,0.02696616,0.0554016,0.17088051,0.13261522,15506.8756542,2473.02918218,2.86969477,17.99412652,0.20620265,0.2111591,27242826032601.0,718150392936.0
DIG,2025,,,,,,,,,,986154280785.0,1.36892454,0.09794151,0.01058243,0.02535062,0.00957719,12703.6671327,-57.97060223,1.70816818,-374.32766204,0.52269629,41.44067197,2585736268742.0,487816438095.0
DIG,2025,,,,,,,,,,144128258788.0,1.35631627,0.08299402,0.00733188,0.01759245,0.00594015,12086.068721,103.21644213,1.7334007,202.97153794,-0.30661524,0.2408152,1930222593732.0,356434121039.0
DIG,2025,,,,,,,,,,118727079683.0,1.31094908,0.17151681,0.01808534,0.04350473,0.02623527,12381.73990691,327.1102771,1.2922255,48.91316819,0.96751354,3.48427895,1039100785050.0,47702424086.0
DIG,2025,,,,,,,,,,114535926550.0,0.89111939,0.17905365,0.03447878,0.07276068,0.0618691,,,,,2.62618837,4.21385541,1531489886037.0,74276453280.0
DIG,2025,,,,,,,,,,646459231632.0,0.89111939,0.17905365,0.03447878,0.07276068,0.0618691,12522.76379261,811.69502016,1.14192044,17.61745439,2.62618837,4.21385541,4789105206000.0,844715524600.0
DPM,2025,,,,,,,,,,3117133794101.0,0.53217619,0.02130764,0.02865924,0.04247726,0.01871289,28630.66753797,523.59537209,1.38313226,75.63092058,0.05119015,-0.16205645,12881680840632.0,3542802203410.0
DPM,2025,,,,,,,,,,5564877377993.0,0.58206501,0.0345316,0.03740894,0.05812242,0.03112771,29457.55145818,1029.39033428,0.80115281,22.92619157,0.13064963,0.10160546,18744713575383.0,6304233833083.0
DPM,2025,,,,,,,,,,519466561842.0,0.65916926,0.05265912,0.0462,0.07345386,0.04604219,16391.92997177,347.63879197,1.45803454,68.74951977,0.18959765,0.40248481,13719510012331.0,300947926386.0
DPM,2025,,,,,,,,,,537763664155.0,0.54140665,0.06094438,0.06252749,0.09601933,0.05811607,,,,,0.22734168,1.02078694,13657031176628.0,358111867999.0
